,Draft_Yr,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG_Perc,3P_Perc,FT_Perc,MP,PTS_per_G,TRB_per_G,AST_per_G,WS_per_G,WS_per_48,BPM,VORP
267,2013,20,CHI,Tony Snell,University of New Mexico,6,388,8648,2437,921,403,0.423,0.382,0.81,8648,6.3,2.4,1.0,11.2,0.062,-1.9,0.2
268,2013,21,UTA,Gorgui Dieng,University of Louisville,6,397,9503,3219,2590,575,0.503,0.318,0.7859999999999999,9503,8.1,6.5,1.4,22.0,0.111,1.6,8.5
269,2013,22,BRK,Mason Plumlee,Duke University,6,409,9029,3489,2552,825,0.5670000000000001,0.05,0.562,9029,8.5,6.2,2.0,26.4,0.14,2.3,9.7
270,2013,23,IND,Solomon Hill,University of Arizona,6,270,6196,1638,885,431,0.39399999999999996,0.327,0.816,6196,6.1,3.3,1.6,8.6,0.067,-0.5,2.3
271,2013,24,NYK,Tim Hardaway,University of Michigan,6,358,9126,4558,880,639,0.424,0.34600000000000003,0.812,9126,12.7,2.5,1.8,14.6,0.077,-1.5,1.1
272,2013,25,LAC,Reggie Bullock,University of North Carolina,6,223,3775,1297,420,206,0.441,0.39899999999999997,0.8170000000000001,3775,5.8,1.9,0.9,7.5,0.095,-0.6,1.3
273,2013,26,MIN,Andre Roberson,University of Colorado,5,295,6651,1356,1188,257,0.48200000000000004,0.257,0.467,6651,4.6,4.0,0.9,12.7,0.092,0.6,4.4
274,2013,27,DEN,Rudy Gobert,,6,346,9755,3554,3494,415,0.621,0.0,0.627,9755,10.3,10.1,1.2,41.6,0.205,4.6,16.3
275,2013,28,SAS,Livio Jean-Charles,,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
276,2013,29,OKC,Archie Goodwin,University of Kentucky,4,165,2396,1040,331,206,0.429,0.23600000000000002,0.7,2396,6.3,2.0,1.2,1.1,0.022000000000000002,-4.2,-1.3
277,2013,30,PHO,Nemanja Nedovic,,1,24,142,26,15,13,0.205,0.16699999999999998,0.875,142,1.1,0.6,0.5,-0.4,-0.132,-10.6,-0.3
