,2P,2P%,2PA,3P,3P%,3PA,AST,Awards,BLK,Conf,DRB,FG,FG%,FGA,FT,FT%,FTA,G,GS,MP,Name,ORB,PF,PTS,SOS,STL,School,Season,TOV,TRB, 
230,3.6,0.48100000000000004,7.5,0.7,0.28,2.3,1.3,0,1.0,Big 12,3.7,4.3,0.434,9.9,2.2,0.732,3.0,32,32,27.7,Craig Brackins,1.3,1.8,11.4,7.97,0.3,Iowa State,['2007-08'],1.7,5.0,
231,6.9,0.507,13.7,0.7,0.284,2.3,1.3,0,0.9,Big 12,7.8,7.6,0.475,16.0,4.3,0.6970000000000001,6.2,32,31,32.5,Craig Brackins,1.7,2.1,20.2,5.68,0.5,Iowa State,['2008-09'],2.3,9.5,
232,5.2,0.446,11.6,0.8,0.31,2.7,2.2,0,1.2,Big 12,6.4,6.0,0.42,14.3,3.7,0.76,4.8,32,32,35.1,Craig Brackins,2.1,2.0,16.5,8.37,0.8,Iowa State,['2009-10'],2.1,8.5,
233,5.2,0.48,10.9,0.7,0.292,2.5,1.6,0,1.0,,6.0,6.0,0.445,13.4,3.4,0.726,4.7,96,95,31.8,Craig Brackins,1.7,2.0,16.0,7.34,0.5,Iowa State,['Career'],2.0,7.7,
234,1.4,0.516,2.7,0.3,0.25,1.1,0.7,0,0.0,ACC,1.4,1.6,0.441,3.7,0.7,0.5,1.4,34,12,16.6,Elliot Williams,0.9,1.7,4.2,9.07,0.6,Duke,['2008-09'],0.9,2.3,
235,3.5,0.527,6.6,1.8,0.366,4.8,3.8,0,0.1,CUSA,3.2,5.2,0.45899999999999996,11.4,5.7,0.758,7.5,34,34,33.3,Elliot Williams,0.7,2.0,17.9,3.65,1.3,Memphis,['2009-10'],2.9,4.0,
236,2.4,0.524,4.6,1.0,0.345,2.9,2.2,0,0.1,,2.3,3.4,0.45399999999999996,7.6,3.2,0.7190000000000001,4.4,68,46,24.9,Elliot Williams,0.8,1.9,11.1,6.36,1.0,Overall,['Career'],1.9,3.1,
237,4.4,0.602,7.3,0.0,0.0,0.0,1.1,0,2.2,ACC,3.3,4.4,0.602,7.3,1.6,0.615,2.5,36,36,25.9,Trevor Booker,3.1,2.6,10.4,7.82,0.9,Clemson,['2006-07'],2.0,6.4,
238,4.3,0.568,7.6,0.1,0.33299999999999996,0.4,1.5,0,1.9,ACC,4.6,4.4,0.555,8.0,2.0,0.573,3.4,34,34,26.6,Trevor Booker,2.7,2.6,11.0,9.08,0.6,Clemson,['2007-08'],2.0,7.3,
239,5.6,0.583,9.7,0.3,0.409,0.7,1.7,0,2.0,ACC,6.4,5.9,0.5710000000000001,10.3,3.3,0.7070000000000001,4.6,32,32,30.7,Trevor Booker,3.3,1.7,15.3,6.59,1.5,Clemson,['2008-09'],1.8,9.7,
