"","player","pos","age","tm","g","gs","mp","fg","fga","fg_pct","three_p","three_pa","three_p_pct","two_p","two_pa","two_p_pct","efg_pct","ft","fta","ft_pct","orb","drb","trb","ast","stl","blk","tov","pf","pts","start_year","end_year"
"440","Zaza Pachulia","C",26,"ATL",79,7,1244,107,232,0.461,0,0,NA,107,232,0.461,0.461,135,179,0.754,119,214,333,58,34,22,69,184,349,2010,2011
"441","Anthony Parker","SF",35,"CLE",72,65,2091,220,552,0.399,86,227,0.379,134,325,0.412,0.476,74,95,0.779,33,185,218,218,67,10,80,109,600,2010,2011
"442","Tony Parker","PG",28,"SAS",78,78,2528,555,1069,0.519,25,70,0.357,530,999,0.531,0.531,233,303,0.769,30,208,238,513,90,3,200,135,1368,2010,2011
"443","Patrick Patterson","PF",21,"HOU",52,6,868,149,267,0.558,0,2,0,149,265,0.562,0.558,30,42,0.714,86,114,200,41,17,37,31,77,328,2010,2011
"444","Chris Paul","PG",25,"NOH",80,80,2880,430,928,0.463,71,183,0.388,359,745,0.482,0.502,337,384,0.878,38,289,327,782,188,5,177,196,1268,2010,2011
"445","Sasha Pavlovic","SG-SF",27,"TOT",31,7,362,29,72,0.403,12,31,0.387,17,41,0.415,0.486,6,10,0.6,1,31,32,16,10,7,12,34,76,2010,2011
"446","Sasha Pavlovic","SF",27,"DAL",10,6,163,15,35,0.429,7,16,0.438,8,19,0.421,0.529,4,5,0.8,0,12,12,7,5,3,5,15,41,2010,2011
"447","Sasha Pavlovic","SG",27,"NOH",4,1,50,2,11,0.182,0,5,0,2,6,0.333,0.182,0,0,NA,0,6,6,6,0,4,1,4,4,2010,2011
"448","Sasha Pavlovic","SG",27,"BOS",17,0,149,12,26,0.462,5,10,0.5,7,16,0.438,0.558,2,5,0.4,1,13,14,3,5,0,6,15,31,2010,2011
"449","Nikola Pekovic","C",25,"MIN",65,11,887,136,263,0.517,0,0,NA,136,263,0.517,0.517,87,114,0.763,90,103,193,27,18,35,91,181,359,2010,2011
"450","Kendrick Perkins","C",26,"TOT",29,24,742,67,130,0.515,0,0,NA,67,130,0.515,0.515,40,72,0.556,62,170,232,26,9,26,56,91,174,2010,2011
"451","Kendrick Perkins","C",26,"BOS",12,7,313,32,59,0.542,0,0,NA,32,59,0.542,0.542,23,40,0.575,23,74,97,10,2,10,25,37,87,2010,2011
"452","Kendrick Perkins","C",26,"OKC",17,17,429,35,71,0.493,0,0,NA,35,71,0.493,0.493,17,32,0.531,39,96,135,16,7,16,31,54,87,2010,2011
"453","Morris Peterson","SG",33,"OKC",4,0,23,2,5,0.4,0,1,0,2,4,0.5,0.4,0,0,NA,0,3,3,1,0,0,0,5,4,2010,2011
"454","Johan Petro","C",25,"NJN",77,1,893,129,290,0.445,0,4,0,129,286,0.451,0.445,15,28,0.536,62,150,212,44,34,34,46,178,273,2010,2011
"455","Paul Pierce","SF",33,"BOS",80,80,2774,507,1021,0.497,111,297,0.374,396,724,0.547,0.551,386,449,0.86,34,396,430,260,80,51,171,231,1511,2010,2011
"456","Mickael Pietrus","SG-SF",28,"TOT",57,4,1107,143,365,0.392,85,236,0.36,58,129,0.45,0.508,39,57,0.684,15,111,126,33,29,21,39,101,410,2010,2011
"457","Mickael Pietrus","SF",28,"ORL",19,0,418,45,115,0.391,34,87,0.391,11,28,0.393,0.539,3,6,0.5,6,44,50,10,10,3,14,35,127,2010,2011
"458","Mickael Pietrus","SG",28,"PHO",38,4,689,98,250,0.392,51,149,0.342,47,101,0.465,0.494,36,51,0.706,9,67,76,23,19,18,25,66,283,2010,2011
"459","Dexter Pittman","C",22,"MIA",2,0,11,1,3,0.333,0,0,NA,1,3,0.333,0.333,0,0,NA,1,2,3,0,0,0,2,2,2,2010,2011
"460","Quincy Pondexter","SF",22,"NOH",66,6,734,73,180,0.406,18,50,0.36,55,130,0.423,0.456,24,34,0.706,23,65,88,28,17,10,16,63,188,2010,2011
"461","James Posey","SF",34,"IND",49,0,839,81,241,0.336,67,212,0.316,14,29,0.483,0.475,11,15,0.733,10,137,147,34,24,6,24,103,240,2010,2011
"462","Leon Powe","C-PF",27,"TOT",30,3,328,59,119,0.496,0,2,0,59,117,0.504,0.496,40,72,0.556,24,39,63,7,10,4,12,44,158,2010,2011
"463","Leon Powe","PF",27,"CLE",14,3,187,29,59,0.492,0,0,NA,29,59,0.492,0.492,12,26,0.462,16,22,38,2,7,3,5,20,70,2010,2011
"464","Leon Powe","C",27,"MEM",16,0,141,30,60,0.5,0,2,0,30,58,0.517,0.5,28,46,0.609,8,17,25,5,3,1,7,24,88,2010,2011
"465","Josh Powell","PF",28,"ATL",54,0,653,94,208,0.452,0,1,0,94,207,0.454,0.452,36,45,0.8,49,86,135,22,5,5,53,78,224,2010,2011
