,Unnamed: 0,Player,Year,Draft pick,Height (No Shoes),Height (With Shoes),Wingspan,Standing reach,Weight,Body Fat,Hand (Length),Hand (Width),drafted,athletic
121,121,Tyler Honeycutt,2011,35.0,78.75,80.25,81.0,105.0,187.0,5.3,8.5,9.5,1,1
122,122,Jordan Williams,2011,36.0,79.75,81.0,84.25,106.5,247.0,12.1,9.25,10.0,1,1
123,123,Trey Thompkins,2011,37.0,80.5,81.75,85.0,107.5,239.0,15.5,9.25,9.75,1,1
124,124,Chandler Parsons,2011,38.0,80.75,81.75,81.5,104.5,221.0,7.0,8.25,10.0,1,1
125,125,Jeremy Tyler,2011,39.0,81.0,82.5,89.0,110.5,262.0,13.4,9.25,9.0,1,1
126,126,Tristan Thompson,2011,4.0,79.5,80.75,85.25,108.5,227.0,6.2,8.75,9.25,1,1
127,127,Jon Leuer,2011,40.0,82.0,83.5,84.0,105.5,223.0,5.4,8.75,9.75,1,1
128,128,Darius Morris,2011,41.0,75.25,77.25,79.5,102.0,190.0,5.3,8.75,10.0,1,1
129,129,Malcolm Lee,2011,43.0,76.0,77.5,81.75,101.5,198.0,5.9,8.5,9.5,1,1
130,130,Charles Jenkins,2011,44.0,73.5,75.25,79.5,96.5,216.0,4.3,8.5,9.0,1,1
131,131,Andrew Goudelock,2011,46.0,73.25,74.75,76.25,96.5,198.0,9.9,8.25,9.25,1,1
132,132,Travis Leslie,2011,47.0,75.0,76.25,82.5,103.0,205.0,8.1,8.75,9.25,1,1
133,133,Keith Benson,2011,48.0,82.0,83.0,87.75,109.5,217.0,6.1,9.5,11.0,1,1
134,134,Josh Selby,2011,49.0,73.75,75.0,77.25,98.0,195.0,7.9,8.5,9.0,1,1
135,135,Jon Diebler,2011,51.0,77.25,78.5,78.0,99.0,197.0,8.5,8.25,8.25,1,1
136,136,DeAndre Liggins,2011,53.0,77.0,78.25,83.0,103.5,202.0,5.0,8.75,10.0,1,0
137,137,E'Twaun Moore,2011,55.0,74.5,76.0,81.5,99.5,191.0,7.6,9.0,10.0,1,1
138,138,Isaiah Thomas,2011,60.0,68.75,70.25,73.75,91.5,186.0,6.7,8.25,9.0,1,1
139,139,Brandon Knight,2011,8.0,73.5,75.25,78.75,98.5,177.0,4.2,8.25,9.5,1,1
140,140,Kemba Walker,2011,9.0,71.5,73.0,75.5,91.5,184.0,5.9,8.0,9.0,1,1
141,141,David Lighty,2011,99.0,76.75,78.5,80.0,101.0,216.0,6.5,9.0,10.0,0,1
142,142,Demetri McCamey,2011,99.0,73.75,75.25,78.25,99.5,204.0,6.1,8.5,9.0,0,1
143,143,Greg Smith,2011,99.0,80.0,81.25,86.5,106.5,253.0,7.4,9.75,12.0,0,1
144,144,Jamie Skeen,2011,99.0,78.5,80.0,85.25,106.5,242.0,9.8,8.5,8.5,0,1
145,145,Jereme Richmond,2011,99.0,78.0,79.25,82.25,106.5,207.0,5.5,8.75,9.5,0,1
146,146,LaceDarius Dunn,2011,99.0,75.0,76.0,78.25,101.0,188.0,5.5,9.0,10.25,0,1
147,147,Malcolm Thomas,2011,99.0,79.5,80.75,84.5,107.5,223.0,5.9,9.5,10.5,0,1
148,148,Michael Dunigan,2011,99.0,80.5,82.0,87.25,107.5,238.0,8.0,9.0,10.75,0,1
149,149,Rick Jackson,2011,99.0,80.25,81.25,86.0,106.5,242.0,8.3,8.75,9.5,0,1
150,150,Scotty Hopson,2011,99.0,77.75,78.5,82.5,103.5,205.0,4.8,8.5,10.0,0,1
151,151,Anthony Davis,2012,1.0,81.25,82.5,89.5,108.0,222.0,7.9,9.0,8.5,1,0
152,152,Austin Rivers,2012,10.0,75.5,77.0,79.25,96.5,203.0,6.2,8.5,10.0,1,1
153,153,Meyers Leonard,2012,11.0,83.75,85.25,87.0,108.0,250.0,5.7,9.25,11.0,1,1
154,154,Jeremy Lamb,2012,12.0,76.0,77.25,83.0,102.0,179.0,4.5,8.75,9.25,1,1
155,155,Kendall Marshall,2012,13.0,75.25,76.25,77.5,96.0,198.0,7.8,8.5,9.0,1,1
156,156,John Henson,2012,14.0,81.0,82.5,89.0,112.0,216.0,8.6,9.25,10.0,1,0
157,157,Moe Harkless,2012,15.0,79.25,80.75,84.0,102.5,207.0,5.3,9.25,10.25,1,1
158,158,Royce White,2012,16.0,79.0,80.0,84.0,104.5,261.0,10.6,9.5,11.5,1,0
159,159,Tyler Zeller,2012,17.0,83.25,84.5,84.0,104.5,247.0,6.4,9.0,9.75,1,1
160,160,Terrence Jones,2012,18.0,80.25,81.5,86.25,107.0,252.0,7.7,9.0,10.0,1,1
161,161,Andrew Nicholson,2012,19.0,80.5,81.5,88.0,107.0,234.0,7.6,10.0,10.75,1,1
162,162,Michael Kidd-Gilchrist,2012,2.0,77.75,79.5,84.0,104.5,233.0,7.0,9.0,10.25,1,1
163,163,Jared Sullinger,2012,21.0,79.75,81.0,85.25,105.5,268.0,10.7,9.25,9.75,1,1
164,164,Fab Melo,2012,22.0,82.75,84.0,86.5,110.0,255.0,9.2,9.0,10.0,1,1
165,165,John Jenkins,2012,23.0,75.25,76.25,80.5,98.0,212.0,7.1,9.0,9.0,1,1
