,index,Name,School,Conf,Season,SOS,G,GS,MP,PTS,DRB,ORB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,FT,FTA,FT%,2P,2PA,2P%,3P,3PA,3P%,year,last
741,1005,Alec Brown,Green Bay,Horizon,2013,-0.27,34,34,30.6,14.1,4.0,2.0,6.0,1.2,0.6,1.7,2.6,2.9,5.0,11.1,0.449,3.2,4.3,0.747,4.1,9.1,0.453,0.9,2.1,0.429,3,0
742,1006,Alec Brown,Green Bay,Horizon,2014,0.11,30,30,30.3,15.3,3.6,2.1,5.7,1.0,0.5,3.1,2.2,2.2,5.5,11.6,0.476,2.9,4.0,0.727,4.1,8.2,0.498,1.4,3.3,0.42,4,1
743,1008,Semaj Christon,Xavier,A-10,2013,4.96,30,29,34.2,15.2,2.7,0.2,2.9,4.6,1.5,0.1,3.6,2.7,5.4,12.2,0.444,4.2,6.2,0.672,5.2,11.2,0.46,0.2,0.9,0.25,1,0
744,1009,Semaj Christon,Xavier,A-10,2014,8.13,34,34,35.3,17.0,2.2,0.4,2.7,4.2,1.3,0.2,2.6,2.1,5.9,12.4,0.479,4.6,6.9,0.6679999999999999,5.4,10.9,0.491,0.6,1.4,0.388,2,1
745,1011,Roy Devyn Marble,Iowa,Big Ten,2011,8.79,31,6,19.1,5.7,1.8,0.6,2.4,1.3,0.7,0.1,1.1,1.3,2.1,5.6,0.379,1.1,2.1,0.53,1.8,4.3,0.414,0.4,1.3,0.268,1,0
746,1012,Roy Devyn Marble,Iowa,Big Ten,2012,6.53,35,27,29.5,11.5,2.7,1.1,3.8,3.6,1.5,0.4,1.7,1.6,4.0,9.1,0.436,2.9,4.0,0.723,3.3,7.5,0.445,0.6,1.6,0.393,2,0
747,1013,Roy Devyn Marble,Iowa,Big Ten,2013,6.93,37,37,30.5,15.0,3.1,0.9,4.0,3.0,1.1,0.3,2.2,1.4,4.8,11.6,0.409,4.1,5.1,0.81,3.4,7.6,0.454,1.3,4.1,0.327,3,0
748,1014,Roy Devyn Marble,Iowa,Big Ten,2014,7.43,33,33,30.2,17.0,2.4,0.8,3.2,3.6,1.8,0.2,1.7,1.9,5.5,13.2,0.42,4.3,6.0,0.7140000000000001,4.0,8.7,0.456,1.6,4.5,0.349,4,1
749,1016,Jordan McRae,Tennessee,SEC,2011,8.73,10,0,5.3,1.8,0.6,0.2,0.8,0.0,0.2,0.4,0.5,0.5,0.6,1.9,0.316,0.5,1.1,0.455,0.5,1.0,0.5,0.1,0.9,0.111,1,0
750,1017,Jordan McRae,Tennessee,SEC,2012,6.58,34,15,21.7,8.6,2.4,0.5,2.9,1.5,0.6,0.8,1.5,1.7,2.9,7.6,0.377,1.8,2.3,0.759,1.7,4.1,0.42,1.1,3.5,0.328,2,0
751,1018,Jordan McRae,Tennessee,SEC,2013,6.03,33,22,33.5,15.7,3.2,0.9,4.1,2.0,0.8,0.9,2.8,2.3,5.2,12.2,0.423,3.6,4.6,0.7709999999999999,3.3,7.1,0.472,1.8,5.1,0.355,3,0
752,1019,Jordan McRae,Tennessee,SEC,2014,7.84,37,37,32.2,18.7,2.8,0.7,3.5,2.5,0.7,1.0,2.1,2.1,6.0,13.8,0.436,4.5,5.7,0.7879999999999999,3.9,7.8,0.502,2.1,6.1,0.35100000000000003,4,1
753,1021,Xavier Thames,Washington State,Pac-10,2010,4.64,31,4,17.6,4.6,1.0,0.4,1.5,1.2,0.8,0.0,0.9,1.9,1.7,4.2,0.412,0.8,1.3,0.6409999999999999,1.5,3.1,0.464,0.3,1.1,0.265,1,0
