,level_0,index,Name,School,Conf,Season,SOS,G,GS,MP,PTS,DRB,ORB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,FT,FTA,FT%,2P,2PA,2P%,3P,3PA,3P%,year,last
132,384,516,Keith Benson,Oakland,Summit,2011,0.1,35,35,32.4,17.9,7.5,2.7,10.1,1.1,0.8,3.6,1.9,3.1,6.6,12.1,0.547,4.5,7.0,0.643,6.3,11.4,0.556,0.3,0.7,0.391,4,1
133,385,518,Josh Selby,Kansas,Big 12,2011,7.62,26,11,20.4,7.9,1.8,0.4,2.2,2.2,0.8,0.0,2.0,1.7,2.8,7.4,0.373,1.1,1.4,0.757,1.5,3.8,0.384,1.3,3.6,0.362,1,1
134,389,523,Lavoy Allen,Temple,A-10,2011,4.23,33,33,33.9,11.6,5.9,2.7,8.6,2.3,0.7,1.8,1.6,2.3,4.7,9.7,0.48,2.1,3.0,0.6970000000000001,4.5,9.2,0.49,0.2,0.5,0.294,4,1
135,393,528,Jon Diebler,Ohio State,Big Ten,2011,8.38,37,36,35.7,12.6,2.3,0.4,2.6,2.4,1.0,0.1,0.9,1.0,3.9,7.7,0.507,1.7,2.1,0.81,0.8,1.6,0.525,3.1,6.1,0.502,4,1
136,397,533,Vernon Macklin,Florida,SEC,2011,7.57,37,35,24.5,11.6,3.2,2.2,5.4,0.8,0.4,0.7,1.7,2.5,5.2,8.7,0.593,1.2,2.8,0.451,5.2,8.7,0.593,0.0,0.0,0.0,4,1
137,400,537,DeAndre Liggins,Kentucky,SEC,2011,8.91,38,28,31.6,8.6,3.4,0.6,4.0,2.5,1.2,0.7,1.4,2.5,2.9,6.9,0.424,1.8,2.8,0.648,2.0,4.5,0.442,0.9,2.4,0.391,3,1
138,404,542,E'Twaun Moore,Purdue,Big Ten,2011,8.69,34,33,33.9,18.0,3.6,1.5,5.1,3.2,1.2,0.5,1.8,2.1,6.5,14.5,0.447,2.9,4.1,0.7090000000000001,4.4,9.4,0.473,2.1,5.1,0.4,4,1
139,407,546,Isaiah Thomas,Washington,Pac-10,2011,7.74,35,35,31.9,16.8,2.8,0.7,3.5,6.1,1.3,0.1,3.0,2.1,5.4,12.1,0.445,4.3,6.0,0.7190000000000001,3.7,7.1,0.512,1.7,4.9,0.349,3,1
140,408,548,Michael Kidd-Gilchrist,Kentucky,SEC,2012,7.93,40,39,31.1,11.9,4.9,2.6,7.4,1.9,1.0,0.9,2.2,2.4,4.0,8.2,0.491,3.6,4.8,0.745,3.7,6.9,0.535,0.3,1.3,0.255,1,1
141,409,550,Bradley Beal,Florida,SEC,2012,7.33,37,37,34.2,14.8,5.4,1.4,6.7,2.2,1.4,0.8,2.1,2.1,4.7,10.6,0.445,3.6,4.7,0.769,3.0,5.6,0.541,1.7,5.0,0.339,1,1
142,411,553,Dion Waiters,Syracuse,Big East,2012,8.02,37,0,24.1,12.6,1.8,0.5,2.3,2.5,1.8,0.3,1.3,1.9,4.6,9.6,0.476,2.3,3.2,0.7290000000000001,3.5,6.6,0.529,1.1,3.1,0.363,2,1
143,414,557,Thomas Robinson,Kansas,Big 12,2012,9.93,39,39,31.8,17.7,9.0,2.9,11.9,1.8,1.1,0.9,2.7,2.7,6.7,13.3,0.505,4.2,6.1,0.682,6.5,12.9,0.505,0.2,0.4,0.5,3,1
144,418,562,Damian Lillard,Weber State,Big Sky,2012,-3.65,32,32,34.5,24.5,4.5,0.5,5.0,4.0,1.5,0.2,2.3,1.9,7.2,15.5,0.467,7.1,8.0,0.887,4.3,8.3,0.517,2.9,7.2,0.409,4,1
145,420,565,Harrison Barnes,UNC,ACC,2012,7.07,38,37,29.2,17.1,3.3,1.9,5.2,1.1,1.1,0.3,1.9,1.8,6.0,13.7,0.44,3.7,5.1,0.723,4.7,10.1,0.469,1.3,3.6,0.358,2,1
146,422,568,Terrence Ross,Washington,Pac-10,2012,5.27,35,35,31.1,16.4,5.1,1.4,6.4,1.4,1.3,0.9,2.0,2.8,6.1,13.4,0.457,2.1,2.7,0.7659999999999999,4.1,7.9,0.518,2.1,5.5,0.371,2,1
147,423,570,Andre Drummond,UConn,Big East,2012,8.07,34,30,28.4,10.0,4.2,3.4,7.6,0.4,0.8,2.7,1.5,2.2,4.6,8.6,0.5379999999999999,0.8,2.6,0.295,4.6,8.5,0.541,0.0,0.1,0.0,1,1
148,424,572,Austin Rivers,Duke,ACC,2012,8.4,34,33,33.2,15.5,2.8,0.6,3.4,2.1,1.0,0.0,2.3,2.2,5.1,11.8,0.433,3.6,5.4,0.6579999999999999,3.4,7.1,0.477,1.7,4.7,0.365,1,1
149,426,575,Meyers Leonard,Illinois,Big Ten,2012,7.99,32,29,31.8,13.6,5.9,2.3,8.2,1.3,0.5,1.9,2.1,2.9,5.3,9.1,0.584,2.9,4.0,0.732,5.3,8.8,0.604,0.0,0.3,0.091,2,1
150,428,578,Jeremy Lamb,UConn,Big East,2012,8.07,34,34,37.2,17.7,3.9,0.9,4.9,1.7,1.2,0.6,2.0,1.7,6.4,13.4,0.478,2.9,3.6,0.81,4.3,7.1,0.601,2.1,6.2,0.336,2,1
151,430,581,Kendall Marshall,UNC,ACC,2012,7.07,36,35,33.0,8.1,2.4,0.2,2.6,9.8,1.2,0.2,2.8,1.6,2.9,6.3,0.467,1.5,2.2,0.696,2.1,4.1,0.527,0.8,2.2,0.354,2,1
152,433,585,John Henson,UNC,ACC,2012,7.07,35,34,29.1,13.7,7.4,2.5,9.9,1.3,0.6,2.9,1.3,1.6,5.9,11.7,0.5,2.0,3.9,0.511,5.9,11.7,0.5,0.0,0.0,0.0,3,1
153,434,587,Maurice Harkless,St. John's (NY),Big East,2012,6.98,32,32,36.1,15.5,5.9,2.8,8.6,1.5,1.6,1.4,2.5,2.3,6.0,13.3,0.452,2.9,4.3,0.6759999999999999,5.5,10.9,0.506,0.5,2.5,0.215,1,1
154,435,589,Royce White,Iowa State,Big 12,2012,7.32,34,33,31.5,13.4,6.8,2.5,9.3,5.0,1.2,0.9,3.8,2.6,5.1,9.6,0.534,3.0,6.0,0.498,5.0,9.3,0.541,0.1,0.4,0.333,1,1
155,439,594,Tyler Zeller,UNC,ACC,2012,7.07,38,38,28.2,16.3,5.8,3.8,9.6,0.9,0.9,1.5,1.9,2.7,5.8,10.5,0.5529999999999999,4.8,5.9,0.8079999999999999,5.8,10.5,0.5529999999999999,0.0,0.0,0.0,4,1
