,Name,School,Conf,Season,SOS,G,GS,MP,PTS,DRB,ORB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,FT,FTA,FT%,2P,2PA,2P%,3P,3PA,3P%
1056,Cameron Payne,Murray State,OVC,Career,-3.19,69,69,32.4,18.5,3.2,0.4,3.7,5.7,1.8,0.5,2.9,2.4,6.3,14.6,0.4320000000000001,3.7,4.7,0.7809999999999999,4.0,8.3,0.487,2.3,6.3,0.359
1058,Kelly Oubre,Kansas,Big 12,Career,12.13,36,27,21.0,9.3,3.8,1.1,5.0,0.8,1.1,0.4,1.2,2.0,3.1,6.9,0.444,2.2,3.1,0.718,2.1,4.3,0.4970000000000001,0.9,2.6,0.358
1061,Terry Rozier,Louisville,Big East,Career,6.89,73,45,26.8,12.0,3.3,1.0,4.3,2.4,1.5,0.1,1.4,1.6,4.2,10.3,0.408,2.4,3.1,0.772,3.1,6.8,0.447,1.2,3.5,0.331
1063,Rashad Vaughn,UNLV,MWC,Career,3.38,23,23,32.3,17.8,4.2,0.6,4.8,1.6,0.8,0.3,2.2,2.3,6.3,14.3,0.439,3.0,4.3,0.6940000000000001,3.9,8.1,0.481,2.3,6.1,0.383
1067,Sam Dekker,Wisconsin,Big Ten,Career,10.07,113,81,27.9,12.1,3.4,1.6,5.0,1.3,0.6,0.5,1.0,1.2,4.4,9.0,0.493,2.0,2.8,0.695,3.2,5.3,0.591,1.3,3.6,0.348
1072,Jerian Grant,Notre Dame,Big East,Career,6.88,119,117,36.4,14.6,2.5,0.4,2.9,5.8,1.5,0.3,2.2,1.8,4.7,10.7,0.436,3.8,4.8,0.79,3.2,6.4,0.498,1.5,4.4,0.345
1075,Delon Wright,Utah,Pac-12,Career,6.82,68,68,34.8,15.0,4.7,1.1,5.8,5.2,2.3,1.1,2.2,1.6,5.0,9.3,0.535,4.5,5.5,0.8140000000000001,4.4,7.5,0.594,0.6,1.9,0.299
1079,Justin Anderson,Virginia,ACC,Career,6.64,98,44,24.1,8.9,2.7,0.8,3.5,1.8,0.6,0.9,1.3,1.4,2.9,6.8,0.43,2.0,2.7,0.752,1.9,4.1,0.481,1.0,2.8,0.35700000000000004
1082,Bobby Portis,Arkansas,SEC,Career,6.18,70,70,28.5,15.0,4.7,3.1,7.9,1.3,1.1,1.5,1.4,2.0,5.9,11.2,0.526,2.9,3.9,0.737,5.5,10.3,0.54,0.3,0.9,0.365
1085,Rondae Hollis-Jefferson,Arizona,Pac-10,Career,8.23,76,31,27.0,10.2,4.1,2.1,6.3,1.5,0.9,0.9,1.4,2.4,3.4,6.9,0.496,3.3,4.7,0.6970000000000001,3.3,6.4,0.52,0.1,0.5,0.205
1087,Tyus Jones,Duke,ACC,Career,9.87,39,39,33.9,11.8,3.0,0.5,3.5,5.6,1.5,0.1,1.9,1.2,3.5,8.3,0.417,3.7,4.2,0.889,2.3,5.1,0.44,1.2,3.2,0.379
1090,Jarell Martin,LSU,SEC,Career,6.12,65,57,30.7,13.7,4.6,2.4,6.9,1.4,1.0,0.7,2.2,2.6,5.0,10.1,0.494,3.1,4.5,0.6890000000000001,4.3,8.0,0.541,0.6,2.0,0.308
1095,Larry Nance Jr.,Wyoming,MWC,Career,2.08,123,89,29.5,11.3,5.1,1.5,6.6,1.4,1.1,1.1,1.6,2.3,4.1,8.0,0.521,2.7,3.5,0.7709999999999999,3.9,7.0,0.551,0.3,1.0,0.308
1099,R.J. Hunter,Georgia State,CAA,Career,-2.33,99,98,34.7,18.4,4.1,0.7,4.8,2.4,1.9,0.9,1.7,2.2,5.6,13.3,0.423,4.5,5.3,0.853,3.1,6.1,0.505,2.6,7.2,0.354
1101,Chris McCullough,Syracuse,Big East,Career,7.68,16,16,28.1,9.3,4.6,2.3,6.9,1.1,1.7,2.1,2.2,2.6,3.4,7.1,0.478,2.5,4.4,0.563,3.3,7.0,0.473,0.1,0.1,1.0
1103,Kevon Looney,UCLA,Pac-10,Career,8.27,36,36,30.9,11.6,5.8,3.4,9.2,1.4,1.3,0.9,1.3,2.9,4.2,8.9,0.47,2.6,4.1,0.626,3.6,7.4,0.481,0.6,1.5,0.415
1107,Montrezl Harrell,Louisville,Big East,Career,7.64,112,75,26.4,11.6,4.3,2.6,6.9,0.9,0.8,1.1,1.3,1.9,4.8,8.1,0.586,1.9,3.6,0.5329999999999999,4.7,7.8,0.6,0.1,0.4,0.275
1110,Jordan Mickey,LSU,SEC,Career,6.12,65,65,33.8,14.0,6.1,2.7,8.8,1.2,0.8,3.4,2.8,2.4,5.6,10.8,0.518,2.9,4.3,0.669,5.6,10.6,0.527,0.0,0.2,0.071
1115,Rakeem Christmas,Syracuse,Big East,Career,7.88,142,140,22.0,7.4,3.3,2.0,5.3,0.6,0.5,1.7,1.1,2.6,2.9,5.1,0.56,1.6,2.4,0.6809999999999999,2.9,5.1,0.56,0.0,0.0,0.0
1119,Richaun Holmes,Bowling Green State,MAC,Career,-1.07,95,63,26.5,11.5,4.2,2.6,6.9,0.7,0.8,2.6,1.5,2.5,4.2,7.7,0.5539999999999999,2.7,3.8,0.6970000000000001,3.9,6.8,0.58,0.3,0.9,0.353
1124,Darrun Hilliard,Villanova,Big East,Career,7.8,132,112,26.8,11.4,2.5,0.5,3.0,1.9,1.3,0.4,1.6,2.1,3.7,8.5,0.436,2.4,3.2,0.748,2.1,4.2,0.507,1.6,4.3,0.3670000000000001
1129,Pat Connaughton,Notre Dame,Big East,Career,6.88,139,123,32.3,10.5,4.9,1.0,5.9,1.8,0.7,0.5,1.0,1.7,3.7,8.2,0.45,1.2,1.5,0.777,1.8,3.2,0.5489999999999999,1.9,5.0,0.386
1133,Olivier Hanlan,Boston College,ACC,Career,7.86,97,95,36.0,17.8,3.3,0.6,3.9,3.1,1.1,0.1,2.4,2.2,5.8,12.9,0.453,4.3,5.6,0.778,4.0,7.8,0.512,1.8,5.0,0.361
1138,Joseph Young,Overall,,Career,3.04,132,115,32.8,17.5,3.0,0.6,3.6,2.7,1.0,0.1,1.7,1.5,5.9,13.0,0.453,3.5,3.9,0.8859999999999999,3.7,7.4,0.501,2.2,5.6,0.39
1141,Andrew Harrison,Kentucky,SEC,Career,9.28,79,78,28.6,10.1,2.1,0.6,2.7,3.8,0.8,0.2,2.2,2.4,2.8,7.6,0.3720000000000001,3.6,4.6,0.777,1.9,5.2,0.374,0.9,2.4,0.3670000000000001
1146,Norman Powell,UCLA,Pac-10,Career,7.25,141,83,25.2,9.8,2.6,0.4,3.0,1.5,1.1,0.4,1.3,2.0,3.6,7.7,0.461,1.8,2.5,0.746,2.8,5.2,0.5329999999999999,0.8,2.5,0.314
1149,Dakari Johnson,Kentucky,SEC,Career,9.28,78,18,15.2,5.8,2.4,1.9,4.3,0.5,0.3,0.8,0.9,1.9,2.1,3.8,0.537,1.6,2.9,0.5589999999999999,2.1,3.8,0.537,0.0,0.0,0.0
1153,Tyler Harvey,Eastern Washington,Big Sky,Career,-4.49,84,67,31.4,18.6,2.9,0.6,3.5,2.3,1.0,0.2,1.8,1.9,5.9,12.7,0.463,3.8,4.4,0.847,2.8,5.5,0.504,3.1,7.2,0.4320000000000001
1158,Sir'Dominic Pointer,St. John's (NY),Big East,Career,7.43,130,76,28.2,8.3,4.0,1.2,5.2,2.3,1.5,1.3,1.7,2.8,3.1,6.6,0.477,1.9,2.8,0.6809999999999999,3.0,5.7,0.518,0.2,0.8,0.193
1163,Cady Lalanne,UMass,A-10,Career,4.55,111,80,25.2,10.0,4.9,3.1,7.9,0.2,0.4,1.8,1.9,2.5,3.8,6.9,0.5529999999999999,2.2,3.4,0.6659999999999999,3.7,6.5,0.575,0.1,0.4,0.213
1168,Branden Dawson,Michigan State,Big Ten,Career,9.93,130,122,26.6,10.1,4.4,2.5,6.9,1.4,1.3,1.1,1.7,1.6,4.4,7.8,0.5589999999999999,1.4,2.4,0.5579999999999999,4.4,7.7,0.564,0.0,0.1,0.0
1172,J.P. Tokoto,UNC,ACC,Career,9.4,107,67,22.3,6.7,3.0,1.4,4.4,2.7,1.2,0.3,1.7,2.0,2.7,5.8,0.462,1.2,2.3,0.544,2.5,5.0,0.491,0.2,0.7,0.266
1174,Ben Simmons,LSU,SEC,Career,7.0,33,32,34.9,19.2,8.6,3.1,11.8,4.8,2.0,0.8,3.4,2.8,6.5,11.7,0.56,6.0,9.0,0.67,6.5,11.6,0.561,0.0,0.1,0.333
1176,Brandon Ingram,Duke,ACC,Career,10.59,36,34,34.6,17.3,4.9,1.9,6.8,2.0,1.1,1.4,2.0,2.1,5.9,13.4,0.442,3.2,4.7,0.682,3.7,8.0,0.464,2.2,5.4,0.41
1178,Jaylen Brown,California,Pac-10,Career,7.87,34,34,27.6,14.6,4.3,1.1,5.4,2.0,0.8,0.6,3.1,3.2,4.8,11.1,0.431,4.2,6.4,0.654,3.9,8.1,0.482,0.9,3.0,0.294
1183,Kris Dunn,Providence,Big East,Career,8.09,95,83,31.5,12.8,4.0,1.1,5.1,5.8,2.2,0.4,3.3,2.9,4.5,9.9,0.45,3.1,4.5,0.693,3.7,7.8,0.476,0.8,2.2,0.354
1188,Buddy Hield,Oklahoma,Big 12,Career,9.28,132,118,31.7,17.4,3.4,1.6,5.0,1.9,1.3,0.3,2.2,2.0,5.9,13.2,0.448,2.8,3.4,0.836,3.3,6.5,0.508,2.6,6.8,0.39
1190,Jamal Murray,Kentucky,SEC,Career,8.84,36,36,35.2,20.0,3.7,1.5,5.2,2.2,1.0,0.3,2.3,2.1,6.8,14.9,0.454,3.3,4.2,0.7829999999999999,3.6,7.3,0.502,3.1,7.7,0.408
1192,Marquese Chriss,Washington,Pac-10,Career,8.12,34,34,24.9,13.7,2.9,2.5,5.4,0.8,0.9,1.6,2.0,4.1,5.3,9.9,0.53,2.6,3.8,0.682,4.6,8.2,0.568,0.6,1.8,0.35
1195,Jakob Poeltl,Utah,Pac-12,Career,8.1,70,70,26.9,13.3,5.2,2.8,8.0,1.3,0.5,1.7,1.8,2.4,5.1,7.7,0.6579999999999999,3.1,5.2,0.605,5.1,7.7,0.659,0.0,0.0,0.0
1198,Domantas Sabonis,Gonzaga,WCC,Career,4.67,74,32,26.6,13.5,6.8,2.6,9.4,1.3,0.5,0.6,2.0,3.0,5.2,8.2,0.632,3.1,4.2,0.7290000000000001,5.1,8.0,0.638,0.1,0.2,0.35700000000000004
1203,Taurean Prince,Baylor,Big 12,Career,9.08,129,42,20.2,10.2,2.7,1.6,4.2,1.1,0.9,0.5,1.7,2.1,3.6,7.9,0.46,2.0,2.8,0.718,2.6,5.2,0.504,1.0,2.7,0.376
1208,Denzel Valentine,Michigan State,Big Ten,Career,9.21,144,116,29.0,11.4,4.8,1.1,5.9,4.4,0.9,0.3,2.2,2.1,4.0,9.1,0.442,1.5,2.0,0.779,2.2,4.6,0.476,1.8,4.5,0.408
1211,Wade Baldwin,Vanderbilt,SEC,Career,7.45,68,54,29.6,11.6,3.6,0.4,4.1,4.8,1.3,0.2,2.3,2.5,3.4,8.0,0.431,3.5,4.4,0.8,2.2,5.1,0.436,1.2,2.9,0.422
1213,Henry Ellenson,Marquette,Big East,Career,5.57,33,33,33.5,17.0,7.6,2.2,9.7,1.8,0.8,1.5,2.4,2.5,5.9,13.2,0.446,4.3,5.8,0.7490000000000001,5.0,10.0,0.495,0.9,3.2,0.28800000000000003
1215,Malik Beasley,Florida State,ACC,Career,8.16,34,33,29.8,15.6,4.0,1.3,5.3,1.5,0.9,0.2,1.7,2.2,5.4,11.6,0.471,3.1,3.8,0.813,3.8,7.4,0.518,1.6,4.2,0.387
