Player,Year,Draft pick,Height (No Shoes),Height (With Shoes),Wingspan,Standing reach,Weight,Body Fat,Hand (Length),Hand (Width),drafted,athletic
Robbie Hummel,2012,58,79.25,80.5,80.5,102,218,9.4,8.5,9.5,1,1
Marcus Denmon,2012,59,74.25,75.25,77,94.5,188,6.6,8.25,9.75,1,1
Damian Lillard,2012,6,73.75,74.75,79.75,95.5,189,5.9,8.75,9.75,1,1
Harrison Barnes,2012,7,79,80,83.25,101.5,228,9.6,9,8.5,1,1
Terrence Ross,2012,8,78,79,79.25,100.5,197,3.2,8.75,10.25,1,1
Andre Drummond,2012,9,81.75,83.75,90.25,109.5,279,7.5,9.5,9.5,1,1
Drew Gordon,2012,99,80,80.75,83.5,103.5,239,9.1,8.5,9.75,0,1
Henry Sims,2012,99,82,83.75,88,108,241,7.7,9.25,10,0,1
Hollis Thompson,2012,99,78.75,80,81.5,102.5,206,6,8.25,9.75,0,1
J'Covan Brown,2012,99,73,74.25,77.25,96,202,12.5,7.75,8.25,0,1
JaMychal Green,2012,99,80,81,86.25,106.5,217,9.8,9.25,9.25,0,1
Jordan Taylor,2012,99,73,74,75,92.5,193,5.5,8.25,9.5,0,1
Kevin Jones,2012,99,78.25,79.5,85.5,105,251,11.2,9,7.75,0,1
Scott Machado,2012,99,73,74,76,94.5,206,5.8,8.5,9.5,0,1
Tony Mitchell (Alabama),2012,99,77.25,78.25,82,100,216,5.7,8.5,10,0,1
Tu Holloway,2012,99,70.5,71.75,77.5,94.5,187,8.5,8.75,10,0,1
William Buford,2012,99,76,77,81.5,102,215,11.3,8.75,10,0,1
C.J. McCollum,2013,10,74.25,75.25,78.25,96.5,197,8.6,8,9.5,1,1
Michael Carter-Williams,2013,11,76.75,77.75,79.25,101,184,4.4,7.5,8.5,1,1
Steven Adams,2013,12,82.75,84,88.5,109.5,255,6.7,9.5,11,1,1
Kelly Olynyk,2013,13,82.75,84,81.75,108,234,6.7,8.5,10,1,1
Shabazz Muhammad,2013,14,76.75,78.25,83,104.5,222,9,9,10,1,1
Dennis Schroeder,2013,17,73,74,79.75,98,165,4.1,8.75,10.5,1,1
Shane Larkin,2013,18,70.25,71.5,70.75,89.5,171,3.8,7.5,8.75,1,1
Victor Oladipo,2013,2,75.25,76.25,81.25,100.5,213,6.6,8.75,9.25,1,1
Tony Snell,2013,20,78,79.25,83.5,105.5,198,4.9,9,9.5,1,1
Gorgui Dieng,2013,21,81.75,82.75,87.5,111.5,230,5.4,9,10,1,0
Mason Plumlee,2013,22,83.25,84.5,83,108,238,6.2,9.75,9.5,1,1
Solomon Hill,2013,23,77.5,79,81,103,226,7.6,9,10.5,1,1
Tim Hardaway Jr,2013,24,76.5,78.25,79,101,199,6.1,8,9.25,1,1
Reggie Bullock,2013,25,77.75,79,80.75,102,200,7,8.5,9,1,1
Andre Roberson,2013,26,78.25,79,83,104.5,206,7.1,8.75,9.5,1,1
Rudy Gobert,2013,27,84.5,86,92.5,115,238,4.4,9.75,10,1,1
Archie Goodwin,2013,29,75.75,77.25,81.5,102,189,4.6,8.5,9,1,1
Otto Porter,2013,3,79.5,80.5,85.5,105.5,198,6.7,8.75,9.25,1,1
Allen Crabbe,2013,31,77.25,78.25,83.25,103.5,197,4.7,8.25,8.5,1,1
Carrick Felix,2013,33,76.75,78.25,81.25,103.5,203,3.3,8.5,9.5,1,1
Isaiah Canaan,2013,34,71,72,76.5,94.5,188,5.9,8.25,9.5,1,1
Glen Rice,2013,35,76.5,77.75,81.25,101.5,211,8.5,8.5,9,1,1
Ray McCallum,2013,36,72.25,73.75,75.25,96.5,191,7.3,8,8.75,1,1
Tony Mitchell,2013,37,79.5,80.75,86.5,106.5,236,5.6,9,10,1,1
Nate Wolters,2013,38,75.5,76.75,75.75,98,196,5.5,8.25,8.75,1,0
Jeff Withey,2013,39,82.75,84.5,86,110.5,222,8.7,9,9.75,1,1
Cody Zeller,2013,4,82.75,84.25,82.75,106,230,4.8,8.5,10.5,1,1
Grant Jerrett,2013,40,80.75,82.25,86,109,232,10.1,8.5,9.25,1,1
Jamaal Franklin,2013,41,76,77.25,83.25,103.5,191,8.3,8.5,8.25,1,0
Pierre Jackson,2013,42,69.5,70.5,70,90,176,4.5,7.5,8.25,1,0
Ricky Ledo,2013,43,76.75,78,79.25,102.5,197,10.3,8.5,9.25,1,1
Mike Muscala,2013,44,82.25,83.5,85,108,230,6.8,8.5,9,1,1
Erick Green,2013,46,73.5,75,77.75,98,178,4.4,8.5,9,1,0
Ryan Kelly,2013,48,81.75,83.75,83.5,110,228,14.8,9,10,1,0
Erik Murphy,2013,49,80.75,81.5,82.5,108,240,8,8.75,9.75,1,1
James Ennis,2013,50,77.75,79,83.5,104.5,201,4.5,8.5,8.75,1,1
Lorenzo Brown,2013,52,76,77.25,79,100,189,4,8.25,8.5,1,1
Colton Iverson,2013,53,82.5,84,86,110,263,9.6,9.25,9.5,1,0
Peyton Siva,2013,56,71.5,73,75,93,181,6.1,8,9.75,1,1
Deshaun Thomas,2013,58,77,79,82,104,220,9.1,8,8.75,1,1
Nerlens Noel,2013,6,82,83.75,87.75,110,206,4.2,9.5,10,1,0
Ben McLemore,2013,7,75.5,76.75,79.75,100.5,189,5,8.75,9.5,1,1
Kentavious Caldwell-Pope,2013,8,76.5,77.5,80,100.5,204,6.5,8.5,9,1,1
Trey Burke,2013,9,71.75,73.25,77.5,97.5,187,6.9,8.25,8.75,1,1
Adonis Thomas,2013,99,76.75,77.75,85,99,232,7.5,9.25,9.5,0,1
B.J. Young,2013,99,74.25,75.5,80.25,99,179,4.7,8.5,9.5,0,0
Brandon Davies,2013,99,80.5,82.25,85.5,108.5,242,8.6,9,11,0,1
Brandon Paul,2013,99,74.75,76,82.25,98,201,5.3,8.5,9.5,0,1
C.J. Leslie,2013,99,79.5,80.75,86.25,104.5,209,8,8.75,9,0,1
DeWayne Dedmon,2013,99,82,83.5,88,109,239,8.4,9,11,0,1
Jackie Carmichael,2013,99,79.5,81,85.5,107,241,5.8,9,10.25,0,1
James Southerland,2013,99,79,80,85,106,221,8.1,8,9.5,0,1
Kenny Kadji,2013,99,80.75,82,87,106.5,242,7.5,9,10.25,0,1
Myck Kabongo,2013,99,73.25,74.75,78.25,98,180,6,8.25,9,0,1
Norvel Pelle,2013,99,81.5,82.5,86.5,109,207,5.2,8.75,9.5,0,1
Phil Pressey,2013,99,69.5,71.5,74.25,92,177,4.7,7.75,9.75,0,1
Richard Howell,2013,99,78.25,79.5,82.25,105.5,250,8.8,8.75,9.5,0,0
Robert Covington,2013,99,78.25,79.5,85.75,106,209,4.7,9,8.5,0,1
Seth Curry,2013,99,73,75,76,97.5,179,9.6,8,8.25,0,0
Trevor Mbakwe,2013,99,78.75,80,88,106.5,236,5.9,9.5,11.5,0,1
Vander Blue,2013,99,75.5,77.25,78,100.5,197,4.6,8.5,9.5,0,1
Will Clyburn,2013,99,77.75,79,84.25,105,210,6.9,9.25,10.25,0,1
Elfrid Payton,2014,10,74.5,75.75,80,98.5,185,5.7,8.75,9,1,1
Doug McDermott,2014,11,78.25,79.75,81.25,103,218,7.1,8.75,9.75,1,1
Zach LaVine,2014,13,76.5,77.75,80.25,100,181,4.7,8.25,8.75,1,1
T.J. Warren,2014,14,79,80.25,82.25,104,220,8,8.75,9,1,1
Adreian Payne,2014,15,81,81.75,88,109,239,7.6,9.25,9.5,1,0
James Young,2014,17,77.25,78.75,84,104,213,5.1,9,9.5,1,0
Tyler Ennis,2014,18,73,74.5,79.25,98,182,6.2,8.25,8.75,1,1
Gary Harris,2014,19,74.5,76.5,78.75,96,205,4.6,8.5,9.5,1,0
Jordan Adams,2014,22,75.5,76.75,82,102,209,10.8,8.5,7.5,1,1
Rodney Hood,2014,23,79.25,80.5,80.5,103,208,7.5,8.5,8.5,1,1
Shabazz Napier,2014,24,71,73,75.25,93,175,7.4,8.25,8.5,1,1
P.J. Hairston,2014,26,76.25,77.25,81,101,229,8.2,8.75,9.75,1,1
C.J. Wilcox,2014,28,75.5,77,81.75,100.5,201,6.5,8.75,9,1,1
Kyle Anderson,2014,30,79.5,80.5,86.75,107.5,230,13.4,8.25,8.75,1,0
K.J. McDaniels,2014,32,76.5,78,83.25,102,196,4.5,8.75,9.75,1,1
Joe Harris,2014,33,76.75,78.25,78,100,215,6.2,8.5,9.75,1,1
Cleanthony Early,2014,34,78,79.25,82.75,101.5,209,4.5,8.5,9,1,1
Jarnell Stokes,2014,35,79,80.5,85.25,103.5,263,8.2,9.75,10.5,1,1
Johnny O'Bryant,2014,36,79.25,80.5,86.25,105,257,10.8,9.25,9.5,1,1
DeAndre Daniels,2014,37,79.25,80.5,86,106.5,196,3.9,9.25,10.5,1,1
Spencer Dinwiddie,2014,38,76.5,78,80.25,103,205,5.4,8.25,9,1,0
Jerami Grant,2014,39,78.5,79.75,86.75,107,214,3.8,9.25,9.25,1,0
