Name,School,Conf,Season,SOS,G,GS,MP,PTS,DRB,ORB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,FT,FTA,FT%,2P,2PA,2P%,3P,3PA,3P%,EFG%,year,last
Derrick Caracter,UTEP,CUSA,2010,1.96,27,22,26.7,14.1,5.4,2.7,8.1,1.1,1,0.9,2.9,3,5.5,9.7,0.5670000000000001,3,4.4,0.672,5.3,9.1,0.585,0.1,0.6,0.267,0.5721649484536083,3,1
Stanley Robinson,UConn,Big East,2010,9.15,34,34,34.2,14.5,5,2.7,7.6,1,0.9,1.2,2.3,1.5,6,11.4,0.525,1.8,2.9,0.629,5.2,9.1,0.5710000000000001,0.8,2.3,0.342,0.5614035087719298,4,1
Dwayne Collins,Miami (FL),ACC,2010,7.01,29,28,24.7,12,4.8,2.9,7.8,1.2,0.6,1.1,2.4,2.3,4.4,7.3,0.604,3.1,5.5,0.569,4.4,7.3,0.604,0,0,0,0.6027397260273973,4,1
Kyrie Irving,Duke,ACC,2011,8.31,11,8,27.5,17.5,2.8,0.5,3.4,4.3,1.5,0.5,2.5,2.1,5,9.5,0.529,5.8,6.5,0.901,3.4,5.9,0.569,1.6,3.5,0.462,0.6105263157894737,1,1
Tristan Thompson,North Texas,Sun Belt,2011,-5.07,33,31,32,18,2.7,0.5,3.2,1.8,0.7,0.1,2.2,1.9,4.8,10.4,0.459,6.4,7.7,0.8340000000000001,2.8,5.6,0.495,2,4.8,0.418,0.5576923076923077,4,1
Brandon Knight,Kentucky,SEC,2011,8.91,38,38,35.9,17.3,3.4,0.7,4,4.2,0.7,0.2,3.2,2.2,5.7,13.5,0.423,3.6,4.5,0.795,3.4,7.4,0.461,2.3,6.1,0.377,0.5074074074074074,1,1
Kemba Walker,UConn,Big East,2011,10.44,41,41,37.6,23.5,4.1,1.3,5.4,4.5,1.9,0.2,2.3,1.4,7.7,18,0.428,6.3,7.7,0.8190000000000001,5.9,12.5,0.471,1.8,5.5,0.33,0.47777777777777775,3,1
Jimmer Fredette,BYU,MWC,2011,5.76,37,37,35.8,28.9,2.8,0.6,3.4,4.3,1.3,0,3.5,1.3,9.4,20.7,0.452,6.8,7.6,0.894,6,12.2,0.491,3.4,8.5,0.396,0.5362318840579711,4,1
Klay Thompson,Washington State,Pac-10,2011,6.81,34,33,34.7,21.6,4.5,0.7,5.2,3.7,1.6,0.9,3.4,2.9,7.1,16.2,0.436,4.6,5.4,0.838,4.2,9,0.466,2.9,7.2,0.398,0.5277777777777778,3,1
Alec Burks,Colorado,Big 12,2011,5.61,38,37,31.4,20.5,4.1,2.4,6.5,2.9,1.1,0.3,2.6,2.3,6.6,14.1,0.469,6.6,7.9,0.825,5.9,11.6,0.508,0.7,2.5,0.292,0.4929078014184397,2,1
Markieff Morris,Kansas,Big 12,2011,7.62,38,34,24.4,13.6,5.6,2.7,8.3,1.4,0.8,1.1,2.1,2.8,5.1,8.7,0.589,2.7,4,0.6729999999999999,4.5,7.2,0.625,0.7,1.6,0.424,0.6264367816091954,3,1
Marcus Morris,Kansas,Big 12,2011,7.62,38,35,28.3,17.2,5,2.6,7.6,1.6,0.8,0.6,1.8,2.6,6.3,11.1,0.57,3.9,5.7,0.688,5.6,9.1,0.62,0.7,2,0.342,0.5990990990990991,3,1
